Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),BACK_SPACE:Zone Lights Total Heating Rate [W](Hourly),CORE_RETAIL:Zone Lights Total Heating Rate [W](Hourly),POINT_OF_SALE:Zone Lights Total Heating Rate [W](Hourly),FRONT_RETAIL:Zone Lights Total Heating Rate [W](Hourly),FRONT_ENTRY:Zone Lights Total Heating Rate [W](Hourly),BACK_SPACE:Zone Mean Air Temperature [C](Hourly),CORE_RETAIL:Zone Mean Air Temperature [C](Hourly),POINT_OF_SALE:Zone Mean Air Temperature [C](Hourly),FRONT_RETAIL:Zone Mean Air Temperature [C](Hourly),FRONT_ENTRY:Zone Mean Air Temperature [C](Hourly),BACK_SPACE:Zone Infiltration Sensible Heat Gain Energy [J](Hourly),CORE_RETAIL:Zone Infiltration Sensible Heat Gain Energy [J](Hourly),POINT_OF_SALE:Zone Infiltration Sensible Heat Gain Energy [J](Hourly),FRONT_RETAIL:Zone Infiltration Sensible Heat Gain Energy [J](Hourly),FRONT_ENTRY:Zone Infiltration Sensible Heat Gain Energy [J](Hourly),BACK_SPACE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BACK_SPACE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),DISTRICT HEATING UTILITY:District Heating Water Rate [W](Hourly),DISTRICT HEATING UTILITY:District Heating Water Mass Flow Rate [kg/s](Hourly),BACK_SPACE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),CORE_RETAIL:Zone Thermal Comfort Fanger Model PPD [%](Hourly),POINT_OF_SALE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),FRONT_RETAIL:Zone Thermal Comfort Fanger Model PPD [%](Hourly),FRONT_ENTRY:Zone Thermal Comfort Fanger Model PPD [%](Hourly),CORE_RETAIL_ERV_HX:Heat Exchanger Sensible Heating Rate [W](Hourly),CORE_RETAIL BASEBOARD HEATER:Baseboard Total Heating Rate [W](Hourly),HW CIRCULATING PUMP:Pump Electricity Rate [W](Hourly),HW SUPPLY INLET NODE:System Node Temperature [C](Hourly),HW SUPPLY INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),HW SUPPLY OUTLET NODE:System Node Temperature [C](Hourly),HW SUPPLY OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly) 
 02/18  02:00:00,-2.5833333333333335,-2.9843043550854724,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,17.021477357804724,18.973891118516207,17.750601419587454,17.04119828379568,16.534851570550245,0.0,0.0,0.0,0.0,0.0,15.56,23.89,15.56,29.44,15.56,23.89,15.56,23.89,15.56,40.0,0.0,0.0,47.40753020624555,24.98669147725344,38.43720574453426,46.38318765409483,53.423287581333746,0.0,0.0,0.0,22.61070031484962,0.0,22.61070031484962,0.0,42259031.472760834,0.0,6906046.45864086 
 02/18  03:00:00,-3.0,-3.163025614023363,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,16.700562683504106,18.748640018819994,17.322161898487206,16.612875540047956,16.057687504448456,0.0,0.0,0.0,0.0,0.0,15.56,23.89,15.56,29.44,15.56,23.89,15.56,23.89,15.56,40.0,0.0,0.0,51.34751214334029,27.218046343573775,43.54933291159267,51.71132423464973,59.28087036626394,0.0,0.0,0.0,22.61070031484962,0.0,22.61070031484962,0.0,42259038.66844352,0.0,6906046.45864086 
 02/18  04:00:00,-3.0,-3.2283903226012196,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,16.38125994091919,18.535960394438664,16.901147246726076,16.196488837737142,15.64325188532733,0.0,0.0,0.0,0.0,0.0,15.56,23.89,15.56,29.44,15.56,23.89,15.56,23.89,15.56,40.0,10.59755852604192,0.00012694466333977656,55.13737808484904,29.40354350038685,48.56155664737432,56.75949416688018,64.26885088971478,0.0,0.0,0.03251156621297935,22.60824624664272,0.00012694466333977656,29.265466876566418,0.00012694466333977656,42196594.40150544,0.0,6906046.45864086 
 02/18  05:00:00,-3.0,-3.392188409479815,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,16.082763698723173,18.33215614452025,16.508543544095215,15.809920456277693,15.559952648062783,0.0,0.0,0.0,0.0,0.0,15.56,23.89,15.56,29.44,15.56,23.89,15.56,23.89,15.56,40.0,64.24906989418396,0.0007675664189413159,58.754954259458884,31.601586345468295,53.40993631830275,61.508255500580646,66.45701777174123,0.0,0.0,0.196577515403306,22.554719494043766,0.0007675664189413159,42.574999999999996,0.0007675664189413159,42259757.87998199,0.0,6906046.45864086 
 02/18  06:00:00,-3.5833333333333335,-3.9633919468039127,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,20.783486748813683,18.18003236242455,21.352229217847977,21.094327570748103,22.19031279836202,0.0,0.0,0.0,0.0,0.0,22.0,23.89,15.560000000000002,29.44,22.0,23.89,22.0,23.89,22.0,40.0,49536.449528251476,0.8959188725256318,24.766276745000795,33.321519397930736,20.158106763183675,23.38728864763374,18.563833035154776,0.0,0.0,229.90652569951553,29.38656838800796,0.8959188725256318,43.17291666666667,0.8959188725256318,43086639.736824125,0.0,6906046.45864086 
 02/18  07:00:00,-3.4166666666666665,-4.027906787655671,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,21.999743865503252,18.054145217589696,22.00033096553244,21.99916997571746,21.999368250691195,0.0,0.0,0.0,0.0,0.0,22.0,23.89,15.56,29.44,22.0,23.89,22.0,23.89,22.0,40.0,36810.95558491102,0.44374440150809785,15.310130161130486,34.53806767366546,14.872997511658761,15.808514907396889,16.22924215965634,0.0,0.0,113.66178867569779,23.15458685202323,0.44374440150809785,43.00208333333333,0.44374440150809785,42605594.82049794,0.0,6906046.45864086 
 02/18  08:00:00,-3.0,-3.557209056009088,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,21.999999885152075,17.951712353521305,22.000161982477593,22.000618133027945,21.999671206605026,0.0,0.0,0.0,0.0,0.0,22.0,23.89,17.8,27.8,22.0,23.89,22.0,23.89,22.0,40.0,35442.01833059296,0.43071977078115015,14.820909745556994,35.73655709425979,14.55004535211394,15.35740817516951,15.419539562468097,0.0,0.0,110.31843572823955,22.888174784768577,0.43071977078115015,42.57500000000001,0.43071977078115015,28262299.789417323,0.0,6906046.45864086 
 02/18  09:00:00,-2.4166666666666665,-3.0313524177665805,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,22.000492518040954,19.820661950302643,22.000090466047435,21.999686021661105,22.001927681990598,0.0,0.0,0.0,0.0,0.0,22.0,23.89,20.0,25.599999999999998,22.0,23.89,22.0,23.89,22.0,40.0,89373.45305717307,1.223322427609189,14.462183565158794,23.749601604548094,13.179740462479309,13.873673974926485,13.657564071827663,33649.083086445266,46642.365800074265,313.4657356263391,23.800830478282453,1.223322427609189,41.97708333333333,1.223322427609189,21613880.676499553,7076571.42857143,6906046.45864086 
 02/18  10:00:00,-2.0,-2.565587822450546,342.92974212000007,2928.6644408427,275.96163903,275.96163903,13.175016,22.000111372043094,21.33198783210791,22.000178342215374,22.000242147560613,22.00198046206579,0.0,0.0,0.0,0.0,0.0,22.0,23.89,22.0,23.89,22.0,23.89,22.0,23.89,22.0,40.0,97673.2093792986,1.9333836844683774,13.93432182319363,15.00583021206009,10.667530234938676,11.310447907388015,10.674241810707928,35165.14670022355,60353.46173312376,496.06303915291437,29.471786648748445,1.9333836844683774,41.550000000000004,1.9333836844683774,37869616.57277786,7076571.428571431,13812092.91728172 
 02/18  11:00:00,-0.5416666666666666,-0.9858713674254945,1371.7189684800003,11714.6577633708,1103.84655612,1103.84655612,52.700064,21.999544616496863,21.99922558271788,22.000072309361624,21.99992598360161,21.999256531737988,0.0,0.0,0.0,0.0,0.0,22.0,23.89,22.0,23.89,22.0,23.89,22.0,23.89,22.0,40.0,69340.60382922937,1.0108787968613568,13.116866161462369,10.696963792539554,8.336553599119803,8.927915240183788,8.089758321432653,34289.493411791824,45730.50793237519,258.96346963766945,23.624745738014386,1.0108787968613568,40.055208333333326,1.0108787968613568,93649224.6754855,7076571.42857143,55248371.66912688 
