DateTime,T_air_avg,Q_heating_total,T_supply_avg,T_return_avg,mdot_water_total,T_outdoor,Q_internal_no_solar,I_solar_total,Q_people_total,Q_lights_total,Q_equipment_total,Q_solar_total,dT_outdoor,dT_supply,dT_air_dt,hour,day_of_week
2024-01-01 00:20:00,22.139308367933513,0.0,39.29676399227819,39.29676399227819,0.0,2.8,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,19.339308367933512,17.157455624344674,-6.222697279233387,0,0
2024-01-01 00:30:00,21.737621391270395,0.0,39.29676399227818,39.29676399227818,0.0,4.1,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,17.637621391270393,17.559142601007785,-2.410121859978709,0,0
2024-01-01 00:40:00,21.43663873856165,0.0,39.29676399227818,39.29676399227818,0.0,5.4,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,16.03663873856165,17.86012525371653,-1.8058959162524602,0,0
2024-01-01 00:50:00,21.17158230025641,0.0,39.29676399227818,39.29676399227818,0.0,6.7,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.471582300256411,18.12518169202177,-1.590338629831443,0,0
2024-01-01 01:00:00,20.967276958918205,0.0,39.29676399227818,39.29676399227818,0.0,8.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,12.967276958918205,18.329487033359975,-1.2258320480292326,1,0
2024-01-01 01:10:00,20.824206393653306,0.0,39.29676399227818,39.29676399227818,0.0,8.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,12.824206393653306,18.472557598624874,-0.8584233915893975,1,0
2024-01-01 01:20:00,20.72496358891653,0.0,39.29676399227818,39.29676399227818,0.0,8.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,12.72496358891653,18.57180040336165,-0.5954568284206516,1,0
2024-01-01 01:30:00,20.651528408643824,0.0,39.29676399227818,39.29676399227818,0.0,8.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,12.651528408643824,18.645235583634356,-0.4406110816362414,1,0
2024-01-01 01:40:00,20.592564364022,0.0,39.29676399227818,39.29676399227818,0.0,8.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,12.592564364022,18.70419962825618,-0.3537842677309442,1,0
2024-01-01 01:50:00,20.54272609905632,0.0,39.29676399227818,39.29676399227818,0.0,8.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,12.54272609905632,18.75403789322186,-0.299029589794074,1,0
2024-01-01 02:00:00,20.49965023710193,0.0,39.29676399227818,39.29676399227818,0.0,8.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,12.499650237101928,18.79711375517625,-0.2584551717263537,2,0
2024-01-01 02:10:00,21.650472295631722,72297.83319441705,32.44845554296246,27.116578550152703,3.1901508337471394,7.833333333333334,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,13.817138962298388,10.797983247330741,6.904932351178765,2,0
2024-01-01 02:20:00,22.309226001048295,61780.7001732981,31.620012738320657,27.006696630066624,3.19440564158957,7.666666666666667,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.642559334381627,9.310786737272363,3.952522232499433,2,0
2024-01-01 02:30:00,22.80159688846037,60086.39924677318,31.790590407065338,27.292394370118487,3.1956818180721966,7.5,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,15.30159688846037,8.988993518604968,2.9542253244724535,2,0
2024-01-01 02:40:00,23.164465223349055,58723.70969410694,31.96139630106783,27.560863473061563,3.1925091015389984,7.333333333333333,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,15.831131890015723,8.796931077718774,2.177210009332107,2,0
2024-01-01 02:50:00,23.445831255195284,57583.6977782335,32.13221497762022,27.813731779309535,3.190009922593849,7.166666666666667,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,16.279164588528616,8.686383722424939,1.688196191077374,2,0
2024-01-01 03:00:00,23.64991646319711,57541.22994520554,32.30303658003766,27.985435220231007,3.1883083539503443,7.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,16.64991646319711,8.653120116840554,1.2245112480109483,3,0
2024-01-01 03:10:00,22.938464056871577,0.0,32.32492831993686,32.32492831993686,0.0,7.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,15.938464056871577,9.386464263065282,-4.268714437953186,3,0
2024-01-01 03:20:00,22.022027029479222,0.0,32.32492831993687,32.32492831993687,0.0,7.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,15.022027029479222,10.302901290457651,-5.498622164354131,3,0
