timestamp,T_out_C,Q_solar_W,Q_internal_W
2024-01-05 20:10:00,-16.169952513655435,0.0,43619.9841071237
2024-01-05 20:20:00,-16.446558607253674,0.0,49776.59826946769
2024-01-05 20:30:00,-16.369581858081254,0.0,49803.40682519442
2024-01-05 20:40:00,-15.93541701573201,0.0,52897.665942137115
2024-01-05 20:50:00,-16.32727373726294,0.0,51171.18923010133
2024-01-05 21:00:00,-16.69660429696561,0.0,49954.88111291378
2024-01-05 21:10:00,-16.421914293288282,0.0,51339.9593956648
2024-01-05 21:20:00,-16.561872487612014,0.0,52724.083856601224
2024-01-05 21:30:00,-17.260324379337938,0.0,51145.59540425144
2024-01-05 21:40:00,-17.481128834658055,0.0,10213.905326936874
2024-01-05 21:50:00,-18.151681707020742,0.0,9907.635825626912
2024-01-05 22:00:00,-18.789520429399957,0.0,12149.11564111345
2024-01-05 22:10:00,-19.0884328108027,0.0,12111.799726863843
2024-01-05 22:20:00,-20.330235720102714,0.0,13349.996078813492
2024-01-05 22:30:00,-21.399086399875994,0.0,13857.435601457151
2024-01-05 22:40:00,-21.887606544939178,0.0,2722.577003613998
2024-01-05 22:50:00,-22.556995407153018,0.0,5637.094334024972
2024-01-05 23:00:00,-22.614318629831715,0.0,3821.0392464141405
2024-01-05 23:10:00,-22.732018618531768,0.0,2507.8264962740086
2024-01-05 23:20:00,-23.041092334516154,0.0,4597.978531487776
2024-01-05 23:30:00,-22.048121614019156,0.0,2493.058886083295
2024-01-05 23:40:00,-21.8750563937173,0.0,3619.278396946591
2024-01-05 23:50:00,-21.5747825590049,0.0,1296.7155391305987
2024-01-06 00:00:00,-21.938337639474142,0.0,1283.811194387447
2024-01-06 00:10:00,-22.365128137141525,0.0,727.0758946083406
2024-01-06 00:20:00,-22.496931954183925,0.0,0.0
2024-01-06 00:30:00,-23.198945227630347,0.0,0.0
2024-01-06 00:40:00,-23.19862106867492,0.0,0.0
2024-01-06 00:50:00,-23.657237963567766,0.0,0.0
2024-01-06 01:00:00,-23.968660524992124,0.0,3109.1905010750284
2024-01-06 01:10:00,-24.417405637463055,0.0,1589.7177172939287
2024-01-06 01:20:00,-23.784942398223475,0.0,2136.9189840440717
2024-01-06 01:30:00,-24.06233146226622,0.0,8925.499012955474
2024-01-06 01:40:00,-24.800477154452658,0.0,9367.597224266174
2024-01-06 01:50:00,-24.678557090835927,0.0,10010.134181658552
2024-01-06 02:00:00,-25.492854791361037,0.0,10411.36923310999
2024-01-06 02:10:00,-25.135861115197237,0.0,4478.799070039693
2024-01-06 02:20:00,-25.743142073610954,0.0,3722.12755651087
2024-01-06 02:30:00,-25.99777074278674,0.0,0.0
2024-01-06 02:40:00,-25.54551717853599,0.0,1046.6511463657912
2024-01-06 02:50:00,-24.885742007810855,0.0,6510.723374674452
2024-01-06 03:00:00,-24.522470105046235,0.0,4613.19150837268
2024-01-06 03:10:00,-24.303966345467387,0.0,9727.746453790158
2024-01-06 03:20:00,-24.171484435647347,0.0,5607.811941499147
2024-01-06 03:30:00,-24.548808786264036,0.0,1899.4700488427957
2024-01-06 03:40:00,-24.541034056919525,0.0,3867.7201469291385
2024-01-06 03:50:00,-24.404385103103284,0.0,1523.7599302580998
2024-01-06 04:00:00,-23.603157697287056,0.0,468.59279174383755
2024-01-06 04:10:00,-23.509728854286895,0.0,4217.200581704028
2024-01-06 04:20:00,-24.360580689254576,0.0,1355.0735743212426
2024-01-06 04:30:00,-24.233257693147777,0.0,954.7680052737155
2024-01-06 04:40:00,-24.444452065027956,0.0,1098.5293329347687
2024-01-06 04:50:00,-24.778403651057808,0.0,2675.7139706283024
2024-01-06 05:00:00,-24.53393977303029,0.0,5054.224438089292
2024-01-06 05:10:00,-23.647810189454077,0.0,4623.1078560741125
2024-01-06 05:20:00,-22.8604269111064,0.0,1042.5964105173848
2024-01-06 05:30:00,-22.890190657533356,0.0,4481.497148955384
2024-01-06 05:40:00,-22.65262080828944,0.0,12879.019093360586
2024-01-06 05:50:00,-22.126297678675968,0.0,13985.647270456611
2024-01-06 06:00:00,-21.33843764840938,0.0,14164.096228322898
2024-01-06 06:10:00,-21.39679442481335,0.0,11568.009658515286
2024-01-06 06:20:00,-21.304708520722556,0.0,9723.901809381328
2024-01-06 06:30:00,-21.606477903589997,0.0,4817.986556675147
2024-01-06 06:40:00,-21.900577825560493,0.0,6538.051818299691
2024-01-06 06:50:00,-21.27301491478775,0.0,5789.8118255194295
2024-01-06 07:00:00,-20.454542100536482,0.0,9332.136389362713
2024-01-06 07:10:00,-20.15714304143758,0.0,5519.871473396208
2024-01-06 07:20:00,-19.387332221784167,0.0,9326.989728128196
2024-01-06 07:30:00,-18.94096551085311,0.0,7649.24668746251
2024-01-06 07:40:00,-18.944736808115014,0.0,5339.302975636263
2024-01-06 07:50:00,-18.476067768331763,0.0,3751.5454520293697
2024-01-06 08:00:00,-17.50804639502904,0.0,2032.518235640493
2024-01-06 08:10:00,-17.789524630595565,0.0,0.0
2024-01-06 08:20:00,-17.361893143034816,0.0,0.0
2024-01-06 08:30:00,-18.817624245387595,0.0,2310.5891624083015
2024-01-06 08:40:00,-18.644269491714045,0.0,6347.398629634614
2024-01-06 08:50:00,-18.8252329384978,0.0,8096.1541484221525
2024-01-06 09:00:00,-19.17304392705368,0.0,9437.912019676358
2024-01-06 09:10:00,-19.165741939158405,0.0,3727.049327878719
2024-01-06 09:20:00,-20.065528949449376,0.0,4336.375681915761
2024-01-06 09:30:00,-20.10472881048649,0.0,991.0547530341737
2024-01-06 09:40:00,-19.888594168369078,762.0473833864419,9243.228176874332
2024-01-06 09:50:00,-19.205535672503284,1590.047555051685,13874.941483429197
2024-01-06 10:00:00,-19.460890855943116,2475.441008151816,13807.58129034186
2024-01-06 10:10:00,-19.150549294833183,3411.789308052397,5985.052282154917
2024-01-06 10:20:00,-18.67087185673601,4313.769762830256,4067.1317151898766
2024-01-06 10:30:00,-17.55477013868576,5189.862907933558,3710.8215173283807
2024-01-06 10:40:00,-16.73932717169217,6211.769693294951,25954.438273800344
2024-01-06 10:50:00,-16.31297824044263,7259.406437409908,29965.036124851526
2024-01-06 11:00:00,-15.407952329203201,9179.538908206485,33076.920593014846
2024-01-06 11:10:00,-14.04150864022008,10255.39223019909,35649.720346582646
