n_iter,scenario,n_seeds,fidelity_CDH_mean,ramc_CDH_mean,delta_CDH_mean,delta_CDH_ci_lo,delta_CDH_ci_hi,ramc_advantage,ci_excludes_zero,fidelity_solve_ms_median,ramc_solve_ms_median
25,nominal,1,11.2942641574906,7.978757532272343,-3.315506625218257,-3.315506625218257,-3.315506625218257,True,True,421.8074083328247,427.0731210708618
25,forecast_error,1,11.368886927313646,8.099229858333251,-3.269657068980395,-3.269657068980395,-3.269657068980395,True,True,424.36182498931885,756.8303346633911
100,nominal,1,11.682651257421487,7.976004357809352,-3.706646899612135,-3.706646899612135,-3.706646899612135,True,True,4843.347907066345,1674.2223501205444
100,forecast_error,1,11.932083775271257,8.123839040743965,-3.8082447345272925,-3.8082447345272925,-3.8082447345272925,True,True,4167.494177818298,2178.0539751052856
